,Adrenal Glands,Bone Marrow,Brain,Colon,Heart,Kidney,Liver,Lung,Muscle,Pancreas,Small Intestine,Spleen,Thyroid,WAT
Adrenal Glands,,"“Type: Hormonal Connection
Key Players: Cortisol
Notes: 
- Cortisol affects bone metabolism during normal Physiological conditions.
Osteoblasts needed for bone formation are generated in the Bone marrow.
Sources:
-DOI: 10.5772/intechopen.1003161
”","""Type: Hormonal connection
Key Players: Cortisol, Adrenaline
Notes: Stress response.  The hypothalamic-pituitary-adrenal (HPA) axis responds to stress and maintains homeostasis.
Sources:
- doi: 10.7326/0003-4819-141-11-200412070-00008.""",,,"""Type: Hormonal Connection
Key Players: Glucagon, cortisol, insulin, aldosterone
Notes: - Adrenal glands sits anatomically next to kidney.
- Renal function is regulated in multiple ways by the adrenal cortex.
- Glucagon release by the pancreas is increased by cortisol, leading to gluconeogenesis in the liver and kidney.
- Cortisol lowers insulin secretion by pancreas. As insulin inhibits gluconeogenesis in the kidney, more gluconeogenesis is done.
Sources:
- https://doi.org/10.1038/ki.1974.113
- doi: 10.1093/ckj/sfad046""","""Type: Hormonal connection
Key Players: Cortisol, insulin, glucagon
Notes: 
- Cortisol lowers insulin production in the pancreas which will in turn lower insulin abundance and lead to less glucose uptake in Muscle. For this reason glucose might get taken up by the liver. 
- Glucagon release by the pancreas is increased by cortisol, leading to gluconeogenesis in the liver and kidney.
Sources:
- DOI: 10.5772/intechopen.1003161""",,"""Type: Hormonal connection
Key Players: Cortisol, insulin
Notes: Cortisol lowers insulin production in the pancreas which will in turn lower insulin abundance and lead to less glucose uptake in Muscle.
Sources:
- DOI: 10.5772/intechopen.1003161""","""Type: Hormonal connection
Key Players: Cortisol, insulin
Notes: Cortisol lowers insulin production in the pancreas.
Sources:
- DOI: 10.5772/intechopen.1003161""","""Type: Hormonal connection
Key Players: Cortisol, insulin
Notes: Cortisol potentially has an impact on metabolism in gut.
Sources:
-  doi: 10.1016/j.lfs.2017.11.049.  “",,,"""Type: Hormonal connection
Key Players: Cortisol, insulin, adrenaline, noradrenaline
Notes: 
- Cortisol lowers insulin production in the pancreas which will in turn lower insulin abundance and lead to less glucose uptake in WAT.
- Cortisol drives lipolysis. Patients with a higher cortisol level (higher SUV in Adrenal Glands) will do more lipolysis and have less glucose uptake.
- Adrenaline and noradrenaline lead to lipolysis in adipocytes and they supress the re-esterification of fatty acids .
Sources:
-https://doi.org/10.1038/s42255-020-0217-6
-DOI: 10.3181/00379727-99-24355"""
Bone Marrow,,,"""Type: Metabolic status.
Key Players: 
Notes: 
- Might occur only during fasting as glucose is reserved for brain and immune system (bone marrow, spleen)
Sources:""",,,,,,,,"""Type: Metabolic status. Similar Function.
Key Players: 
Notes: 
- Might occur only during fasting as glucose is reserved for brain and immune system (bone marrow, spleen, Peyer's patches in small intestine)
Sources:
- doi: 10.4061/2010/823710 ""","""Type: Metabolic status. Similar Function.
Key Players: 
Notes: 
- Might occur only during fasting as glucose is reserved for brain and immune system (bone marrow, spleen, Peyer's patches in small intestine)
Sources:""",,
Brain,,,,,,,,,,,"""Type: Glucose-sensing
Key Players: Glucose
Notes: Gut-Brain axis regulates glucose production.
Sources:
- DOI: 10.1016/j.cmet.2017.04.032
- DOI: 10.1038/nature06852
- https://doi.org/10.1038/s41467-021-21235-y""","""Type: Metabolic status.
Key Players: 
Notes: 
- Might occur only during fasting as glucose is reserved for brain and immune system (bone marrow, spleen)
Sources:""","""Type: Hormonal connection
Key Players: TSH, TH (T3, T4), Il-6, TNF-alpha
Notes: 
- Thyroid hormones are essential for regulation of brain energy metabolism.
- During inflammation Il-6 is produced by a multitude of cells/organs and leads to
A decrease in plasma concentration of TSH and T3 in renal cancer patients. This might
Lead to a lower and generally dysregulated thyroid activity.
Sources:
- doi: 10.3389/fnins.2024.1383355.
- DOI: 10.1210/jcem.79.5.7962327""",
Colon,,,,,,,,,,,"""Type: Similar organ function. Correlation might depend on fasting state/last meal.
Key Players: 
Notes: 
Sources:""",,,
Heart,,,,,,"""Type: Hormonal connection
Key Players: TSH, TH, Insulin, Glucagon
Notes: - At a fasting and resting state, the heart, kidney, and liver all take up Fatty acids secreted form the WAT which might lead to a more coordinated metabolism of these organs.
Sources:""","""Type: Hormonal connection
Key Players: TSH, TH, Insulin, Glucagon
Notes: - At a fasting and resting state, the heart, kidney, and liver all take up Fatty acids secreted form the WAT which might lead to a more coordinated metabolism of these organs.
Sources:""","""Type: Stress response
Key Players: 
Notes: - Might be as nervous patients during the scan breathe more heavily and have a higher heart rate. 
Sources:""",,,,,"""Type: Metabolic status
Key Players: TSH, TH
Notes: - TH  regulates Thermogenesis, energy utilization by increasing the basal metabolic rate and regulate lipid and glucose metabolism. At hyperthyroid condition: Increased heart rate. At Hypothyroid condition: decreased heart rate.
Sources:
- doi: 10.1177/2042018820917869
- https://doi.org/10.1152/physrev.00030.2013""",
Kidney,,,,,,,,,,,,,,
Liver,,,,,,,,,,,,"""Type: Multiple Connections
Key Players: 
Notes:
- Gut-Spleen-Liver axis. Has key roles in liver Disease. Feedback loop between Spleen and Liver. Connected through lymphatic, vascular system and neurological pathways.
- Likely to be present during inflammatory states.
Sources:
- https://doi.org/10.1096/fj.202502523RR""
",,
Lung,,,,,,,,,,,,,,
Muscle,,,,,,,,,,"""Type: Hormonal connection
Key Players: Insulin
Notes: Insulin form Pancreas directly influences glucose uptake by GLUT4.
Sources:
- doi: 10.4331/wjbc.v11.i3.76.
- doi: 10.1074/jbc.REV119.008351""",,,"""Type: Metabolic status
Key Players: TSH, TH
Notes: - TH  regulates Thermogenesis, energy utilization by increasing the basal metabolic rate and regulate lipid and glucose metabolism. 
Thermogenesis occurs to a large part in muscle.
Sources:
- doi: 10.1177/2042018820917869
- https://doi.org/10.1152/physrev.00030.2013
- doi: 10.4093/dmj.2017.41.5.327.""","“Type: Hormonal connection
Key Players: Insulin
Notes:
- Insulin produced by the pancreas leads to glucose uptake in both WAT and Muscle as both express GLUT4.
- Both organs are large glucose sinks.
Sources:
- doi: 10.1074/jbc.REV119.008351”"
Pancreas,,,,,,,,,,,,,"""Type: General metabolic state
Key Players: TSH, TH
Notes: - TH  regulates Thermogenesis, energy utilization by increasing the basal metabolic rate and regulate lipid and glucose metabolism. TH acts also through the pancreas.
Sources:
- doi: 10.1177/2042018820917869
- https://doi.org/10.1152/physrev.00030.2013""","“Type: Hormonal connection
Key Players: Insulin
Notes:
- Insulin produced by the pancreas leads to glucose uptake in WAT
- Dysfunction of adipocyte metabolism is also a key event in the development of insulin resistance.
Sources:
- https://doi.org/10.1038/s41574-021-00471-8”"
